Cluster,id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
cluster0,ID12208,23,MALE,INNER_CITY,"$13,040",YES,0,NO,NO,YES,NO,NO
cluster0,ID12209,23,MALE,INNER_CITY,"$12,682",NO,0,NO,YES,YES,NO,YES
cluster0,ID12213,51,FEMALE,INNER_CITY,"$37,094",YES,0,YES,NO,YES,NO,NO
cluster0,ID12215,56,MALE,INNER_CITY,"$43,228",YES,1,YES,YES,YES,NO,YES
cluster0,ID12216,54,FEMALE,INNER_CITY,"$47,797",YES,0,NO,YES,YES,NO,NO
cluster0,ID12227,37,FEMALE,TOWN,"$25,258",YES,0,YES,YES,YES,NO,NO
cluster0,ID12228,48,FEMALE,INNER_CITY,"$42,604",YES,0,NO,YES,YES,NO,NO
cluster0,ID12229,41,MALE,TOWN,"$14,093",YES,3,YES,YES,YES,NO,NO
cluster0,ID12234,64,FEMALE,SUBURBAN,"$36,436",YES,0,YES,NO,YES,NO,NO
cluster0,ID12241,52,MALE,INNER_CITY,"$37,095",YES,3,NO,YES,YES,NO,NO
cluster0,ID12244,64,MALE,TOWN,"$48,975",YES,0,YES,YES,YES,YES,NO
cluster0,ID12247,34,MALE,TOWN,"$20,236",YES,2,YES,NO,YES,NO,NO
cluster0,ID12249,63,MALE,RURAL,"$25,733",YES,0,YES,YES,NO,NO,NO
cluster0,ID12250,30,FEMALE,SUBURBAN,"$28,240",YES,3,YES,YES,YES,NO,NO
cluster0,ID12255,41,MALE,RURAL,"$23,356",NO,2,YES,NO,NO,NO,NO
cluster0,ID12257,50,MALE,TOWN,"$26,463",YES,0,YES,YES,YES,NO,NO
cluster0,ID12258,24,MALE,RURAL,"$20,467",YES,2,YES,YES,YES,NO,NO
cluster0,ID12261,23,MALE,INNER_CITY,"$18,876",YES,2,YES,YES,YES,NO,NO
cluster0,ID12270,56,MALE,INNER_CITY,"$34,021",YES,0,NO,NO,YES,NO,NO
cluster0,ID12271,52,MALE,INNER_CITY,"$49,176",YES,0,YES,YES,YES,NO,NO
cluster0,ID12272,22,MALE,INNER_CITY,"$19,726",YES,2,NO,NO,YES,NO,NO
cluster0,ID12273,35,MALE,INNER_CITY,"$24,347",YES,3,YES,YES,YES,NO,NO
cluster0,ID12274,34,MALE,RURAL,"$26,999",YES,1,YES,YES,YES,NO,YES
cluster0,ID12277,40,MALE,TOWN,"$37,559",YES,0,YES,YES,YES,NO,NO
cluster0,ID12283,65,FEMALE,INNER_CITY,"$37,707",NO,0,YES,YES,YES,YES,NO
cluster0,ID12284,48,FEMALE,INNER_CITY,"$18,516",YES,2,YES,YES,YES,YES,NO
cluster0,ID12285,38,FEMALE,INNER_CITY,"$29,622",NO,0,YES,YES,NO,YES,NO
cluster0,ID12289,38,MALE,INNER_CITY,"$34,867",YES,2,YES,NO,YES,YES,NO
cluster0,ID12290,41,FEMALE,INNER_CITY,"$21,797",YES,0,NO,NO,YES,NO,NO
cluster0,ID12292,39,MALE,INNER_CITY,"$14,996",YES,1,YES,YES,NO,NO,NO
cluster0,ID12298,52,MALE,INNER_CITY,"$48,720",YES,2,YES,YES,YES,NO,YES
cluster0,ID12303,52,MALE,INNER_CITY,"$16,977",YES,0,NO,NO,YES,NO,NO
cluster0,ID12304,37,MALE,INNER_CITY,"$19,013",NO,3,YES,NO,YES,NO,NO
cluster0,ID12307,63,MALE,INNER_CITY,"$59,409",NO,0,YES,YES,YES,NO,YES
cluster0,ID12309,67,MALE,INNER_CITY,"$39,667",YES,0,YES,YES,YES,NO,NO
cluster0,ID12313,22,MALE,INNER_CITY,"$14,433",YES,0,YES,YES,YES,NO,YES
cluster0,ID12315,23,MALE,INNER_CITY,"$9,824",YES,0,NO,YES,YES,NO,NO
cluster0,ID12316,27,MALE,SUBURBAN,"$17,610",YES,0,NO,YES,YES,NO,NO
cluster0,ID12317,27,FEMALE,SUBURBAN,"$15,156",YES,0,YES,NO,YES,NO,NO
cluster0,ID12318,40,FEMALE,INNER_CITY,"$31,774",YES,3,YES,YES,YES,YES,NO
cluster0,ID12320,35,FEMALE,INNER_CITY,"$28,599",YES,0,YES,YES,YES,NO,NO
cluster0,ID12327,67,MALE,INNER_CITY,"$50,475",YES,2,YES,YES,YES,NO,YES
cluster0,ID12334,32,FEMALE,TOWN,"$30,404",YES,0,YES,YES,YES,NO,NO
cluster0,ID12340,23,MALE,INNER_CITY,"$12,824",YES,0,YES,YES,YES,NO,NO
cluster0,ID12343,67,MALE,INNER_CITY,"$35,264",YES,1,YES,YES,YES,NO,YES
cluster0,ID12344,34,FEMALE,INNER_CITY,"$19,968",YES,0,YES,YES,YES,NO,NO
cluster0,ID12345,50,MALE,RURAL,"$27,826",YES,2,YES,YES,NO,NO,NO
cluster0,ID12346,46,MALE,SUBURBAN,"$37,774",NO,0,YES,YES,YES,YES,NO
cluster0,ID12348,26,MALE,RURAL,"$21,384",YES,0,NO,NO,YES,NO,NO
cluster0,ID12349,40,MALE,TOWN,"$20,347",YES,3,NO,YES,YES,NO,NO
cluster0,ID12350,36,MALE,TOWN,"$21,332",YES,3,YES,NO,YES,NO,NO
cluster0,ID12351,65,MALE,INNER_CITY,"$57,672",NO,0,NO,YES,YES,YES,NO
cluster0,ID12361,22,MALE,SUBURBAN,"$17,180",YES,0,NO,YES,YES,NO,NO
cluster0,ID12364,60,FEMALE,INNER_CITY,"$46,358",YES,0,YES,YES,YES,YES,NO
cluster0,ID12365,23,MALE,INNER_CITY,"$19,166",NO,0,YES,YES,NO,NO,YES
cluster0,ID12369,63,FEMALE,TOWN,"$34,625",YES,0,YES,NO,YES,NO,NO
cluster0,ID12370,20,MALE,TOWN,"$16,673",NO,3,YES,NO,YES,YES,NO
cluster0,ID12373,36,MALE,TOWN,"$13,236",YES,0,NO,YES,YES,NO,NO
cluster0,ID12374,31,MALE,INNER_CITY,"$28,409",YES,1,YES,NO,YES,NO,YES
cluster0,ID12375,42,FEMALE,INNER_CITY,"$27,057",YES,0,YES,YES,YES,NO,NO
cluster0,ID12382,18,FEMALE,INNER_CITY,"$15,610",YES,0,NO,YES,YES,NO,NO
cluster0,ID12383,64,MALE,INNER_CITY,"$54,315",YES,1,YES,YES,NO,NO,YES
cluster0,ID12389,33,MALE,INNER_CITY,"$14,137",YES,1,NO,YES,NO,NO,NO
cluster0,ID12391,23,MALE,INNER_CITY,"$13,519",NO,0,NO,YES,YES,NO,YES
cluster0,ID12394,26,FEMALE,TOWN,"$20,951",YES,0,NO,YES,YES,NO,NO
cluster0,ID12396,34,MALE,TOWN,"$32,549",YES,0,YES,YES,YES,YES,NO
cluster0,ID12400,24,FEMALE,INNER_CITY,"$13,668",YES,0,NO,YES,YES,NO,NO
cluster0,ID12403,45,FEMALE,TOWN,"$29,231",YES,0,NO,YES,NO,NO,NO
cluster0,ID12408,38,MALE,RURAL,"$26,281",NO,0,YES,YES,YES,NO,YES
cluster0,ID12411,46,MALE,TOWN,"$30,659",YES,0,NO,YES,YES,NO,NO
cluster0,ID12415,54,FEMALE,TOWN,"$18,037",YES,0,YES,YES,NO,NO,NO
cluster0,ID12416,45,MALE,RURAL,"$42,628",NO,0,YES,YES,YES,YES,NO
cluster0,ID12417,60,MALE,INNER_CITY,"$22,110",NO,2,YES,YES,YES,NO,NO
cluster0,ID12420,39,MALE,SUBURBAN,"$21,951",NO,0,YES,YES,YES,YES,NO
cluster0,ID12425,36,MALE,SUBURBAN,"$28,495",YES,0,NO,YES,YES,NO,NO
cluster0,ID12434,48,MALE,SUBURBAN,"$17,861",YES,2,NO,YES,YES,NO,NO
cluster0,ID12438,65,MALE,INNER_CITY,"$38,081",YES,1,YES,YES,NO,YES,NO
cluster0,ID12441,45,FEMALE,SUBURBAN,"$28,865",YES,0,NO,YES,YES,NO,NO
cluster0,ID12443,64,MALE,INNER_CITY,"$53,104",YES,0,YES,YES,YES,NO,NO
cluster0,ID12444,51,FEMALE,INNER_CITY,"$19,417",YES,0,NO,YES,YES,NO,NO
cluster0,ID12445,34,MALE,RURAL,"$23,638",YES,2,YES,YES,YES,NO,NO
cluster0,ID12447,50,MALE,RURAL,"$39,745",YES,0,YES,YES,NO,YES,NO
cluster0,ID12448,66,FEMALE,INNER_CITY,"$45,190",YES,0,NO,YES,NO,NO,NO
cluster0,ID12449,63,MALE,INNER_CITY,"$37,931",YES,0,NO,YES,NO,YES,NO
cluster0,ID12464,19,FEMALE,TOWN,"$12,549",YES,0,NO,YES,YES,NO,NO
cluster0,ID12466,27,MALE,INNER_CITY,"$17,365",YES,2,YES,YES,NO,NO,YES
cluster0,ID12468,56,MALE,INNER_CITY,"$47,750",YES,0,YES,YES,YES,YES,NO
cluster0,ID12471,62,MALE,INNER_CITY,"$46,870",YES,0,NO,YES,YES,NO,NO
cluster0,ID12476,41,MALE,INNER_CITY,"$20,866",YES,0,YES,YES,YES,NO,NO
cluster0,ID12478,40,MALE,INNER_CITY,"$24,824",NO,2,NO,NO,YES,NO,NO
cluster0,ID12482,46,FEMALE,INNER_CITY,"$32,584",YES,2,YES,YES,YES,NO,NO
cluster0,ID12483,30,MALE,INNER_CITY,"$14,607",YES,1,NO,NO,YES,NO,NO
cluster0,ID12489,29,MALE,INNER_CITY,"$14,642",NO,0,YES,NO,YES,NO,YES
cluster0,ID12490,48,FEMALE,INNER_CITY,"$15,933",YES,0,NO,YES,NO,NO,NO
cluster0,ID12491,56,FEMALE,INNER_CITY,"$44,288",YES,0,NO,YES,YES,NO,NO
cluster0,ID12494,60,FEMALE,INNER_CITY,"$22,053",YES,2,YES,YES,NO,YES,NO
cluster0,ID12497,40,MALE,RURAL,"$25,769",YES,0,YES,YES,NO,NO,NO
cluster0,ID12500,43,MALE,TOWN,"$38,060",YES,0,YES,YES,NO,YES,NO
cluster0,ID12503,48,MALE,INNER_CITY,"$38,598",YES,0,YES,NO,YES,NO,NO
cluster0,ID12506,47,MALE,SUBURBAN,"$36,599",YES,3,YES,YES,YES,NO,YES
cluster0,ID12510,23,MALE,SUBURBAN,"$11,073",YES,2,NO,YES,NO,NO,NO
cluster0,ID12512,22,MALE,INNER_CITY,"$7,304",NO,0,YES,YES,YES,YES,NO
cluster0,ID12515,58,FEMALE,SUBURBAN,"$46,462",YES,0,NO,YES,YES,NO,NO
cluster0,ID12516,27,MALE,RURAL,"$20,059",YES,0,NO,YES,YES,YES,NO
cluster0,ID12521,64,MALE,INNER_CITY,"$48,951",YES,0,YES,YES,YES,YES,NO
cluster0,ID12523,22,MALE,INNER_CITY,"$11,411",YES,1,YES,NO,YES,NO,NO
cluster0,ID12524,58,FEMALE,INNER_CITY,"$43,941",YES,0,YES,YES,YES,NO,NO
cluster0,ID12533,46,MALE,TOWN,"$16,849",NO,0,YES,YES,YES,YES,NO
cluster0,ID12535,47,MALE,INNER_CITY,"$23,038",YES,0,YES,YES,NO,NO,NO
cluster0,ID12540,19,MALE,INNER_CITY,"$15,417",YES,1,YES,NO,YES,NO,NO
cluster0,ID12542,47,MALE,INNER_CITY,"$44,682",YES,0,YES,YES,YES,NO,NO
cluster0,ID12543,43,FEMALE,RURAL,"$36,281",YES,0,YES,YES,YES,NO,NO
cluster0,ID12546,40,MALE,RURAL,"$31,865",YES,0,YES,YES,YES,NO,NO
cluster0,ID12547,52,FEMALE,TOWN,"$43,720",YES,0,NO,YES,YES,NO,NO
cluster0,ID12549,53,MALE,RURAL,"$48,972",YES,3,YES,YES,NO,NO,YES
cluster0,ID12551,42,MALE,INNER_CITY,"$28,939",YES,3,YES,NO,NO,NO,NO
cluster0,ID12552,43,MALE,TOWN,"$38,540",NO,0,YES,YES,NO,YES,NO
cluster0,ID12555,24,MALE,INNER_CITY,"$16,352",NO,0,NO,YES,YES,YES,NO
cluster0,ID12556,27,FEMALE,INNER_CITY,"$11,866",YES,0,YES,YES,YES,NO,NO
cluster0,ID12557,32,FEMALE,TOWN,"$13,268",YES,0,YES,YES,YES,YES,NO
cluster0,ID12558,65,FEMALE,INNER_CITY,"$61,555",YES,0,NO,YES,YES,NO,NO
cluster0,ID12559,18,MALE,SUBURBAN,"$13,700",NO,1,NO,YES,YES,NO,NO
cluster0,ID12561,41,MALE,INNER_CITY,"$23,476",YES,0,YES,NO,YES,YES,YES
cluster0,ID12562,64,FEMALE,SUBURBAN,"$24,554",YES,0,YES,YES,NO,YES,NO
cluster0,ID12564,29,FEMALE,RURAL,"$15,238",YES,2,YES,NO,YES,NO,NO
cluster0,ID12567,38,MALE,INNER_CITY,"$21,877",YES,0,NO,NO,YES,NO,NO
cluster0,ID12572,51,FEMALE,INNER_CITY,"$25,373",YES,0,YES,YES,YES,NO,NO
cluster0,ID12573,61,MALE,INNER_CITY,"$21,140",YES,2,YES,YES,NO,NO,NO
cluster0,ID12578,40,MALE,INNER_CITY,"$27,418",YES,0,NO,YES,YES,YES,NO
cluster0,ID12584,23,MALE,RURAL,"$16,404",YES,0,YES,YES,NO,NO,NO
cluster0,ID12586,64,FEMALE,INNER_CITY,"$49,917",YES,0,YES,YES,YES,YES,NO
cluster0,ID12601,39,FEMALE,INNER_CITY,"$27,766",YES,3,YES,YES,NO,NO,NO
cluster0,ID12604,22,FEMALE,INNER_CITY,"$15,308",NO,0,YES,YES,YES,YES,NO
cluster0,ID12606,35,FEMALE,TOWN,"$28,658",YES,0,YES,YES,YES,NO,NO
cluster0,ID12612,44,MALE,INNER_CITY,"$16,089",YES,3,NO,YES,YES,NO,NO
cluster0,ID12613,63,FEMALE,TOWN,"$43,943",YES,0,YES,YES,YES,YES,NO
cluster0,ID12615,37,MALE,INNER_CITY,"$33,886",NO,0,YES,YES,NO,NO,YES
cluster0,ID12620,56,FEMALE,INNER_CITY,"$28,981",YES,3,YES,YES,YES,YES,NO
cluster0,ID12625,44,MALE,SUBURBAN,"$18,707",YES,0,YES,YES,YES,YES,YES
cluster0,ID12630,55,MALE,RURAL,"$43,500",YES,1,YES,YES,YES,NO,NO
cluster0,ID12634,60,MALE,INNER_CITY,"$29,714",YES,0,YES,NO,YES,YES,YES
cluster0,ID12636,29,MALE,INNER_CITY,"$10,073",YES,0,NO,NO,YES,NO,NO
cluster0,ID12639,43,FEMALE,INNER_CITY,"$38,784",YES,0,NO,YES,YES,NO,NO
cluster0,ID12643,32,MALE,INNER_CITY,"$14,628",YES,2,YES,YES,YES,NO,NO
cluster0,ID12645,46,MALE,RURAL,"$21,096",YES,1,YES,YES,YES,NO,YES
cluster0,ID12648,22,MALE,SUBURBAN,"$9,317",YES,2,YES,YES,YES,NO,NO
cluster0,ID12649,42,MALE,RURAL,"$20,736",YES,1,YES,YES,YES,NO,YES
cluster0,ID12651,23,FEMALE,INNER_CITY,"$8,020",YES,1,YES,NO,YES,NO,NO
cluster0,ID12652,58,MALE,SUBURBAN,"$32,245",YES,3,NO,NO,NO,NO,NO
cluster0,ID12653,45,MALE,INNER_CITY,"$41,107",YES,2,YES,YES,YES,NO,NO
cluster0,ID12655,67,FEMALE,INNER_CITY,"$36,096",YES,3,YES,YES,YES,NO,NO
cluster0,ID12658,41,MALE,RURAL,"$25,133",YES,0,NO,NO,YES,NO,NO
cluster0,ID12659,38,FEMALE,SUBURBAN,"$31,291",YES,0,NO,YES,YES,NO,NO
cluster0,ID12665,44,MALE,SUBURBAN,"$23,092",YES,0,YES,NO,YES,YES,YES
cluster0,ID12666,30,MALE,TOWN,"$24,868",YES,0,YES,YES,NO,NO,NO
cluster0,ID12668,19,FEMALE,INNER_CITY,"$17,371",YES,2,YES,YES,YES,NO,NO
cluster0,ID12669,37,FEMALE,TOWN,"$29,574",YES,0,YES,YES,YES,NO,NO
cluster0,ID12672,40,MALE,INNER_CITY,"$36,166",YES,0,NO,NO,NO,NO,NO
cluster0,ID12674,39,MALE,TOWN,"$22,401",YES,2,YES,YES,YES,NO,NO
cluster0,ID12675,43,FEMALE,INNER_CITY,"$28,470",YES,0,YES,YES,YES,NO,NO
cluster0,ID12678,62,MALE,TOWN,"$45,343",YES,0,YES,YES,NO,NO,YES
cluster0,ID12679,18,MALE,INNER_CITY,"$6,294",NO,0,NO,YES,YES,YES,NO
cluster0,ID12680,47,FEMALE,TOWN,"$25,128",YES,0,YES,NO,NO,NO,NO
cluster0,ID12682,20,MALE,TOWN,"$12,645",YES,2,YES,NO,YES,YES,NO
cluster0,ID12686,20,MALE,TOWN,"$9,517",NO,3,YES,YES,YES,NO,NO
cluster0,ID12689,58,MALE,RURAL,"$49,674",YES,0,NO,YES,YES,NO,NO
cluster0,ID12690,29,MALE,SUBURBAN,"$12,623",YES,1,YES,YES,YES,NO,NO
cluster0,ID12693,48,MALE,TOWN,"$20,268",YES,0,NO,YES,YES,NO,NO
cluster0,ID12695,59,FEMALE,RURAL,"$30,972",YES,3,YES,YES,YES,YES,NO
cluster0,ID12697,30,FEMALE,INNER_CITY,"$9,672",YES,0,YES,YES,YES,NO,NO
cluster1,ID12106,57,FEMALE,TOWN,"$37,870",YES,2,NO,YES,YES,NO,YES
cluster1,ID12124,27,FEMALE,TOWN,"$15,539",NO,0,YES,YES,YES,YES,NO
cluster1,ID12131,61,FEMALE,RURAL,"$22,943",YES,2,NO,YES,YES,NO,NO
cluster1,ID12132,20,FEMALE,TOWN,"$16,326",YES,2,NO,YES,NO,NO,NO
cluster1,ID12143,67,MALE,TOWN,"$55,717",NO,2,YES,YES,NO,NO,YES
cluster1,ID12147,50,FEMALE,INNER_CITY,"$13,284",NO,1,YES,YES,YES,NO,YES
cluster1,ID12149,52,MALE,INNER_CITY,"$39,548",NO,2,YES,NO,YES,NO,YES
cluster1,ID12151,24,MALE,TOWN,"$14,310",NO,2,YES,YES,NO,NO,NO
cluster1,ID12162,65,FEMALE,INNER_CITY,"$36,589",NO,1,YES,NO,YES,NO,YES
cluster1,ID12167,19,MALE,TOWN,"$10,861",NO,2,NO,YES,YES,NO,NO
cluster1,ID12168,41,FEMALE,TOWN,"$34,893",NO,0,NO,YES,YES,YES,NO
cluster1,ID12169,30,MALE,TOWN,"$19,403",NO,2,NO,YES,YES,NO,NO
cluster1,ID12175,64,FEMALE,INNER_CITY,"$52,674",NO,2,YES,YES,YES,NO,YES
cluster1,ID12176,59,FEMALE,RURAL,"$35,611",NO,2,YES,NO,NO,NO,YES
cluster1,ID12180,58,FEMALE,TOWN,"$34,525",YES,2,YES,YES,NO,NO,YES
cluster1,ID12181,50,FEMALE,TOWN,"$22,052",NO,3,NO,YES,YES,NO,YES
cluster1,ID12188,66,FEMALE,TOWN,"$22,562",NO,0,YES,YES,YES,YES,NO
cluster1,ID12199,35,FEMALE,INNER_CITY,"$12,126",NO,2,NO,YES,YES,NO,NO
cluster1,ID12211,36,MALE,TOWN,"$37,331",NO,2,NO,YES,YES,NO,YES
cluster1,ID12214,36,MALE,TOWN,"$33,631",NO,2,YES,YES,YES,NO,YES
cluster1,ID12217,56,FEMALE,TOWN,"$21,730",YES,2,NO,YES,NO,NO,NO
cluster1,ID12220,64,FEMALE,RURAL,"$45,765",YES,3,YES,YES,YES,NO,YES
cluster1,ID12222,62,FEMALE,RURAL,"$54,864",YES,1,YES,YES,YES,NO,YES
cluster1,ID12225,47,MALE,RURAL,"$45,032",NO,3,YES,YES,NO,NO,YES
cluster1,ID12233,52,FEMALE,SUBURBAN,"$16,716",NO,2,YES,YES,YES,NO,NO
cluster1,ID12235,66,FEMALE,TOWN,"$59,504",YES,2,YES,YES,YES,YES,YES
cluster1,ID12236,53,FEMALE,TOWN,"$31,335",YES,1,YES,YES,YES,NO,YES
cluster1,ID12248,20,FEMALE,INNER_CITY,"$18,860",NO,2,NO,YES,YES,NO,NO
cluster1,ID12252,43,MALE,TOWN,"$36,433",NO,2,YES,NO,YES,NO,YES
cluster1,ID12264,21,FEMALE,TOWN,"$7,549",NO,1,YES,NO,YES,NO,NO
cluster1,ID12269,37,FEMALE,TOWN,"$26,708",NO,0,YES,YES,YES,NO,NO
cluster1,ID12275,67,FEMALE,TOWN,"$41,558",YES,2,NO,YES,YES,NO,YES
cluster1,ID12291,67,FEMALE,SUBURBAN,"$63,130",YES,2,YES,YES,YES,NO,YES
cluster1,ID12295,55,MALE,SUBURBAN,"$36,192",YES,2,YES,NO,YES,NO,YES
cluster1,ID12319,39,MALE,TOWN,"$31,694",NO,0,YES,YES,NO,NO,YES
cluster1,ID12321,37,FEMALE,INNER_CITY,"$26,262",NO,2,YES,NO,NO,NO,NO
cluster1,ID12337,65,MALE,TOWN,"$52,256",NO,2,YES,YES,YES,NO,YES
cluster1,ID12342,59,FEMALE,INNER_CITY,"$56,031",NO,0,YES,YES,YES,NO,YES
cluster1,ID12357,49,FEMALE,SUBURBAN,"$26,098",NO,2,NO,YES,YES,NO,NO
cluster1,ID12367,58,MALE,TOWN,"$33,229",NO,0,YES,YES,YES,NO,YES
cluster1,ID12371,67,FEMALE,SUBURBAN,"$60,748",NO,2,NO,YES,YES,YES,YES
cluster1,ID12372,62,FEMALE,INNER_CITY,"$56,394",NO,0,YES,YES,YES,NO,YES
cluster1,ID12390,52,FEMALE,RURAL,"$37,162",YES,1,YES,YES,YES,NO,YES
cluster1,ID12392,44,FEMALE,INNER_CITY,"$39,254",NO,0,YES,YES,NO,NO,YES
cluster1,ID12397,54,FEMALE,RURAL,"$24,583",NO,2,YES,YES,YES,YES,NO
cluster1,ID12399,47,FEMALE,INNER_CITY,"$17,140",NO,2,YES,NO,YES,NO,NO
cluster1,ID12407,63,MALE,INNER_CITY,"$52,117",NO,2,YES,YES,YES,NO,YES
cluster1,ID12409,48,MALE,TOWN,"$25,683",NO,2,YES,YES,YES,NO,NO
cluster1,ID12413,61,FEMALE,TOWN,"$30,760",NO,2,YES,NO,YES,NO,YES
cluster1,ID12414,18,FEMALE,RURAL,"$16,110",NO,2,YES,YES,YES,NO,NO
cluster1,ID12419,31,FEMALE,INNER_CITY,"$23,172",NO,2,NO,YES,NO,NO,NO
cluster1,ID12421,53,MALE,INNER_CITY,"$38,103",NO,2,YES,YES,YES,NO,YES
cluster1,ID12431,66,FEMALE,RURAL,"$52,770",YES,3,YES,YES,YES,NO,YES
cluster1,ID12454,48,MALE,TOWN,"$43,057",NO,1,YES,YES,YES,NO,YES
cluster1,ID12459,52,FEMALE,INNER_CITY,"$34,254",NO,3,YES,NO,YES,NO,NO
cluster1,ID12461,64,FEMALE,TOWN,"$51,621",NO,2,YES,YES,YES,NO,YES
cluster1,ID12465,56,FEMALE,TOWN,"$51,299",YES,1,YES,YES,NO,NO,YES
cluster1,ID12467,59,FEMALE,INNER_CITY,"$29,867",NO,1,YES,NO,YES,NO,YES
cluster1,ID12472,44,FEMALE,INNER_CITY,"$38,454",NO,2,NO,YES,YES,NO,YES
cluster1,ID12475,67,FEMALE,SUBURBAN,"$47,199",YES,2,NO,YES,YES,NO,YES
cluster1,ID12481,56,FEMALE,TOWN,"$26,543",NO,0,YES,YES,YES,NO,YES
cluster1,ID12484,40,FEMALE,TOWN,"$34,837",YES,1,YES,YES,YES,NO,YES
cluster1,ID12486,57,FEMALE,INNER_CITY,"$38,248",NO,3,YES,NO,YES,YES,NO
cluster1,ID12488,61,MALE,INNER_CITY,"$30,158",NO,1,YES,NO,NO,NO,YES
cluster1,ID12493,58,FEMALE,TOWN,"$38,248",YES,3,YES,YES,NO,NO,NO
cluster1,ID12513,67,FEMALE,INNER_CITY,"$58,092",NO,2,YES,YES,YES,NO,YES
cluster1,ID12519,28,FEMALE,TOWN,"$25,699",YES,2,YES,YES,NO,NO,YES
cluster1,ID12525,20,MALE,TOWN,"$17,240",NO,1,YES,NO,YES,NO,YES
